Datum;Datum_text;Namnsdag
2023-05-31;31 maj;Petronella, Pernilla
2023-06-01;1 juni;Gun, Gunnel
2023-06-02;2 juni;Rutger, Roger
2023-06-03;3 juni;Ingemar, Gudmar
2023-06-04;4 juni;Solbritt, Solveig
2023-06-05;5 juni;Bo
2023-06-06;6 juni;Gustav, Gösta
2023-06-07;7 juni;Robert, Robin
2023-06-08;8 juni;Eivor, Majvor
2023-06-09;9 juni;Börje, Birger
2023-06-10;10 juni;Svante, Boris
2023-06-11;11 juni;Bertil, Berthold
2023-06-12;12 juni;Eskil
2023-06-13;13 juni;Aina, Aino
2023-06-14;14 juni;Håkan, Hakon
2023-06-15;15 juni;Margit, Margot
2023-06-16;16 juni;Axel, Axelina
2023-06-17;17 juni;Torborg, Torvald
2023-06-18;18 juni;Björn, Bjarne
2023-06-19;19 juni;Germund, Görel
2023-06-20;20 juni;Linda
2023-06-21;21 juni;Alf, Alvar
2023-06-22;22 juni;Paulina, Paula
2023-06-23;23 juni;Adolf, Alice
2023-06-24;24 juni;(ingen namnsdag) Johannes Döparens dag
2023-06-25;25 juni;David, Salomon
2023-06-26;26 juni;Rakel, Lea
2023-06-27;27 juni;Selma, Fingal
2023-06-28;28 juni;Leo
2023-06-29;29 juni;Peter, Petra
2023-06-30;30 juni;Elof, Leif
2023-07-01;1 juli;Aron, Mirjam
2023-07-02;2 juli;Rosa, Rosita
2023-07-03;3 juli;Aurora
2023-07-04;4 juli;Ulrika, Ulla
2023-07-05;5 juli;Laila, Ritva
2023-07-06;6 juli;Esaias, Jessika
2023-07-07;7 juli;Klas
2023-07-08;8 juli;Kjell
2023-07-09;9 juli;Jörgen, Örjan
2023-07-10;10 juli;André, Andrea
2023-07-11;11 juli;Eleonora, Ellinor
2023-07-12;12 juli;Herman, Hermine
2023-07-13;13 juli;Joel, Judit
2023-07-14;14 juli;Folke
2023-07-15;15 juli;Ragnhild, Ragnvald
2023-07-16;16 juli;Reinhold, Reine
2023-07-17;17 juli;Bruno
2023-07-18;18 juli;Fredrik, Fritz
2023-07-19;19 juli;Sara
2023-07-20;20 juli;Margareta, Greta
2023-07-21;21 juli;Johanna
2023-07-22;22 juli;Magdalena, Madeleine
2023-07-23;23 juli;Emma, Emmy
2023-07-24;24 juli;Kristina, Kerstin
2023-07-25;25 juli;Jakob
2023-07-26;26 juli;Jesper, Jasmine
2023-07-27;27 juli;Marta
2023-07-28;28 juli;Botvid, Seved
2023-07-29;29 juli;Olof, Olle
2023-07-30;30 juli;Algot
2023-07-31;31 juli;Helena, Elin
2023-08-01;1 augusti;Per
2023-08-02;2 augusti;Karin, Kajsa
2023-08-03;3 augusti;Tage
2023-08-04;4 augusti;Arne, Arnold
2023-08-05;5 augusti;Ulrik, Alrik
2023-08-06;6 augusti;Alfons, Inez
2023-08-07;7 augusti;Dennis, Denise
2023-08-08;8 augusti;Silvia, Sylvia
2023-08-09;9 augusti;Roland
2023-08-10;10 augusti;Lars
2023-08-11;11 augusti;Susanna
2023-08-12;12 augusti;Klara
2023-08-13;13 augusti;Kaj
2023-08-14;14 augusti;Uno
2023-08-15;15 augusti;Stella, Estelle
2023-08-16;16 augusti;Brynolf
2023-08-17;17 augusti;Verner, Valter
2023-08-18;18 augusti;Ellen, Lena
2023-08-19;19 augusti;Magnus, Måns
2023-08-20;20 augusti;Bernhard, Bernt
2023-08-21;21 augusti;Jon, Jonna
2023-08-22;22 augusti;Henrietta, Henrika
2023-08-23;23 augusti;Signe, Signhild
2023-08-24;24 augusti;Bartolomeus
2023-08-25;25 augusti;Lovisa, Louise
2023-08-26;26 augusti;Östen
2023-08-27;27 augusti;Rolf, Raoul
2023-08-28;28 augusti;Fatima, Leila
2023-08-29;29 augusti;Hans, Hampus
2023-08-30;30 augusti;Albert, Albertina
2023-08-31;31 augusti;Arvid, Vidar
2023-09-01;1 september;Samuel, Sam
2023-09-02;2 september;Justus, Justina
2023-09-03;3 september;Alfhild, Alva
2023-09-04;4 september;Gisela
2023-09-05;5 september;Adela, Heidi
2023-09-06;6 september;Lilian, Lilly
2023-09-07;7 september;Kevin, Roy
2023-09-08;8 september;Alma, Hulda
2023-09-09;9 september;Anita, Annette
2023-09-10;10 september;Tord, Turid
2023-09-11;11 september;Dagny, Helny
2023-09-12;12 september;Åsa, Åslög
2023-09-13;13 september;Sture
2023-09-14;14 september;Ida, Ronja
2023-09-15;15 september;Sigrid, Siri
2023-09-16;16 september;Dag, Daga
2023-09-17;17 september;Hildegard, Magnhild
2023-09-18;18 september;Orvar
2023-09-19;19 september;Fredrika
2023-09-20;20 september;Elise, Lisa
2023-09-21;21 september;Matteus
2023-09-22;22 september;Maurits, Moritz
2023-09-23;23 september;Tekla, Tea
2023-09-24;24 september;Gerhard, Gert
2023-09-25;25 september;Tryggve
2023-09-26;26 september;Enar, Einar
2023-09-27;27 september;Dagmar, Rigmor
2023-09-28;28 september;Lennart, Leonard
2023-09-29;29 september;Mikael, Mikaela
2023-09-30;30 september;Helge
2023-10-01;1 oktober;Ragnar, Ragna
2023-10-02;2 oktober;Ludvig, Love
2023-10-03;3 oktober;Evald, Osvald
2023-10-04;4 oktober;Frans, Frank
2023-10-05;5 oktober;Bror
2023-10-06;6 oktober;Jenny, Jennifer
2023-10-07;7 oktober;Birgitta, Britta
2023-10-08;8 oktober;Nils
2023-10-09;9 oktober;Ingrid, Inger
2023-10-10;10 oktober;Harry, Harriet
2023-10-11;11 oktober;Erling, Jarl
2023-10-12;12 oktober;Valfrid, Manfred
2023-10-13;13 oktober;Berit, Birgit
2023-10-14;14 oktober;Stellan
2023-10-15;15 oktober;Hedvig, Hillevi
2023-10-16;16 oktober;Finn
2023-10-17;17 oktober;Antonia, Toini
2023-10-18;18 oktober;Lukas
2023-10-19;19 oktober;Tore, Tor
2023-10-20;20 oktober;Sibylla
2023-10-21;21 oktober;Ursula, Yrsa
2023-10-22;22 oktober;Marika, Marita
2023-10-23;23 oktober;Severin, Sören
2023-10-24;24 oktober;Evert, Eilert
2023-10-25;25 oktober;Inga, Ingalill
2023-10-26;26 oktober;Amanda, Rasmus
2023-10-27;27 oktober;Sabina
2023-10-28;28 oktober;Simon, Simone
2023-10-29;29 oktober;Viola
2023-10-30;30 oktober;Elsa, Isabella
2023-10-31;31 oktober;Edit, Edgar
2023-11-01;1 november;(ingen namnsdag) Allhelgonadagen
2023-11-02;2 november;Tobias, Tim
2023-11-03;3 november;Hubert, Hugo
2023-11-04;4 november;Sverker
2023-11-05;5 november;Eugen, Eugenia
2023-11-06;6 november;Gustav Adolf
2023-11-07;7 november;Ingegerd, Ingela
2023-11-08;8 november;Vendela
2023-11-09;9 november;Teodor, Teodora
2023-11-10;10 november;Martin, Martina
2023-11-11;11 november;Mårten
2023-11-12;12 november;Konrad, Kurt
2023-11-13;13 november;Kristian, Krister
2023-11-14;14 november;Emil, Emilia
2023-11-15;15 november;Leopold
2023-11-16;16 november;Vibeke, Viveka
2023-11-17;17 november;Naemi, Naima
2023-11-18;18 november;Lillemor, Moa
2023-11-19;19 november;Elisabet, Lisbet
2023-11-20;20 november;Pontus, Marina
2023-11-21;21 november;Helga, Olga
2023-11-22;22 november;Cecilia, Sissela
2023-11-23;23 november;Klemens
2023-11-24;24 november;Gudrun, Rune
2023-11-25;25 november;Katarina, Katja
2023-11-26;26 november;Linus
2023-11-27;27 november;Astrid, Asta
2023-11-28;28 november;Malte
2023-11-29;29 november;Sune
2023-11-30;30 november;Andreas, Anders
2023-12-01;1 december;Oskar, Ossian
2023-12-02;2 december;Beata, Beatrice
2023-12-03;3 december;Lydia, Cornelia
2023-12-04;4 december;Barbara, Barbro
2023-12-05;5 december;Sven
2023-12-06;6 december;Nikolaus, Niklas
2023-12-07;7 december;Angela, Angelika
2023-12-08;8 december;Virginia
2023-12-09;9 december;Anna
2023-12-10;10 december;Malin, Malena
2023-12-11;11 december;Daniel, Daniela
2023-12-12;12 december;Alexander, Alexis
2023-12-13;13 december;Lucia
2023-12-14;14 december;Sten, Sixten
2023-12-15;15 december;Gottfrid
2023-12-16;16 december;Assar
2023-12-17;17 december;Stig
2023-12-18;18 december;Abraham
2023-12-19;19 december;Isak
2023-12-20;20 december;Israel, Moses
2023-12-21;21 december;Tomas
2023-12-22;22 december;Natanael, Jonatan
2023-12-23;23 december;Adam
2023-12-24;24 december;Eva, (Julafton)
2023-12-25;25 december;(ingen namnsdag) Juldagen
2023-12-26;26 december;Stefan, Staffan, (Annandag jul)
2023-12-27;27 december;Johannes, Johan
2023-12-28;28 december;Benjamin, (Värnlösa barns dag)
2023-12-29;29 december;Natalia, Natalie
2023-12-30;30 december;Abel, Set
2023-12-31;31 december;Sylvester
